record_id,date,shift,operator_id,operator_name,worker_status,vendor,equipment_type,equipment_id,production_unit,job_type,condition,condition_factor,shift_hours,break_hours,downtime_minutes,downtime_reason,productive_hours,longest_nonstop_hours,baseline_per_hour,target_production,actual_production,target_boxes,actual_boxes,achievement_percentage,utilization_percentage,validation_status,foreman_status,supervisor_status,final_status,safety_alert,data_quality_flag
TRX-0000011,2026-01-01,Shift 1,OPR-006,Operator 006,Tetap,Vendor C,Reach Stacker,RS-01,box,Discharge,Normal,1.0,8,0.59,2.9,Tidak ada,7.36,3.07,14.0,103.0,105,103.0,105,101.9,92.0,PASS,Approved,Pending,PENDING,SAFE,OK
TRX-0000012,2026-01-01,Shift 1,OPR-009,Operator 009,Outsourcing,Vendor B,RTGC,RTG-12,box,Loading,Normal,1.0,8,0.61,10.2,System interruption,7.22,3.51,20.0,144.5,153,144.5,153,105.9,90.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000013,2026-01-01,Shift 1,OPR-010,Operator 010,Outsourcing,Vendor C,RTGC,RTG-07,box,Discharge,Pembatasan alat,0.75,8,0.82,13.5,Waiting job,6.96,3.09,20.0,104.4,106,104.4,106,101.6,87.0,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000014,2026-01-01,Shift 2,OPR-027,Operator 027,Outsourcing,Vendor C,Quay Crane,QC-02,box,Loading,Normal,1.0,8,0.81,60.9,System interruption,6.17,3.95,28.0,172.8,156,172.8,156,90.3,77.1,REVIEW,Approved,Approved,PENDING,SAFE,utilisasi_rendah
TRX-0000015,2026-01-01,Shift 2,OPR-023,Operator 023,Outsourcing,Vendor A,Quay Crane,QC-05,box,Discharge,Kepadatan tinggi,0.8,8,0.96,8.5,Tidak ada,6.9,3.19,28.0,154.5,154,154.5,154,99.7,86.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000016,2026-01-01,Shift 2,OPR-018,Operator 018,Outsourcing,Vendor A,RTGC,RTG-04,box,Discharge,Kepadatan sedang,0.9,8,0.44,19.7,Equipment breakdown,7.23,3.5,20.0,130.1,122,130.1,122,93.7,90.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000017,2026-01-01,Shift 2,OPR-017,Operator 017,Outsourcing,Vendor C,Quay Crane,QC-03,box,Loading,Pembatasan alat,0.75,8,0.68,15.3,Yard congestion,7.07,2.62,28.0,148.4,162,148.4,162,109.1,88.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000018,2026-01-01,Shift 2,OPR-004,Operator 004,Outsourcing,Vendor A,RTGC,RTG-11,box,Discharge,Normal,1.0,8,0.76,24.8,System interruption,6.82,2.2,20.0,136.5,128,136.5,128,93.8,85.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000019,2026-01-01,Shift 2,OPR-016,Operator 016,Outsourcing,Vendor C,RTGC,RTG-07,box,Loading,Kepadatan tinggi,0.8,8,0.65,1.2,Tidak ada,7.33,3.62,20.0,117.3,113,117.3,113,96.4,91.6,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000020,2026-01-01,Shift 2,OPR-026,Operator 026,Tetap,Vendor B,RTGC,RTG-01,box,Loading,Normal,1.0,8,0.56,6.7,Tidak ada,7.33,3.19,20.0,146.6,135,146.6,135,92.1,91.7,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000021,2026-01-01,Shift 2,OPR-011,Operator 011,Tetap,Vendor A,Head Truck,HT-06,move,Loading,Normal,1.0,8,0.87,29.1,Waiting job,6.65,4.18,10.0,66.5,60,66.5,60,90.2,83.1,REVIEW,Approved,Approved,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000022,2026-01-01,Shift 2,OPR-010,Operator 010,Outsourcing,Vendor C,Reach Stacker,RS-02,box,Loading,Kepadatan sedang,0.9,8,0.77,27.3,Waiting job,6.77,2.95,14.0,85.3,81,85.3,81,94.9,84.6,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000023,2026-01-01,Shift 2,OPR-022,Operator 022,Outsourcing,Vendor C,Head Truck,HT-08,move,Discharge,Normal,1.0,8,0.58,49.3,Waiting job,6.6,3.25,10.0,66.0,58,66.0,58,87.9,82.4,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,produksi_bawah_target
TRX-0000024,2026-01-01,Shift 3,OPR-003,Operator 003,Outsourcing,Vendor A,Head Truck,HT-09,move,Loading,Kepadatan sedang,0.9,8,0.73,16.4,System interruption,6.99,3.1,10.0,62.9,53,62.9,53,84.2,87.4,REVIEW,Approved,Approved,PENDING,SAFE,produksi_bawah_target
TRX-0000025,2026-01-01,Shift 3,OPR-014,Operator 014,Outsourcing,Vendor B,Head Truck,HT-04,move,Loading,Normal,1.0,8,1.01,3.7,Tidak ada,6.93,2.82,10.0,69.3,69,69.3,69,99.6,86.6,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000026,2026-01-01,Shift 3,OPR-005,Operator 005,Outsourcing,Vendor C,Head Truck,HT-14,move,Discharge,Kepadatan tinggi,0.8,8,1.01,48.9,Weather,6.18,2.84,10.0,49.4,51,49.4,51,103.2,77.2,REVIEW,Approved,Approved,PENDING,SAFE,utilisasi_rendah
TRX-0000027,2026-01-01,Shift 3,OPR-021,Operator 021,Outsourcing,Vendor B,Head Truck,HT-06,move,Loading,Normal,1.0,8,0.87,17.3,Weather,6.84,2.14,10.0,68.4,77,68.4,77,112.5,85.5,REVIEW,Returned,Waiting Foreman,PENDING,SAFE,produksi_di_atas_batas
TRX-0000028,2026-01-01,Shift 3,OPR-030,Operator 030,Outsourcing,Vendor A,Forklift,FL-03,box,Discharge,Kepadatan sedang,0.9,8,0.98,33.8,System interruption,6.46,2.63,10.0,58.1,58,58.1,58,99.8,80.7,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000029,2026-01-01,Shift 3,OPR-004,Operator 004,Outsourcing,Vendor A,Head Truck,HT-08,move,Loading,Normal,1.0,8,0.41,26.3,Operator change,7.16,2.67,10.0,71.6,80,71.6,80,111.8,89.4,REVIEW,Approved,Approved,PENDING,SAFE,produksi_di_atas_batas
TRX-0000030,2026-01-01,Shift 3,OPR-029,Operator 029,Outsourcing,Vendor A,Head Truck,HT-17,move,Loading,Kepadatan sedang,0.9,8,0.88,12.0,Weather,6.92,3.15,10.0,62.3,63,62.3,63,101.1,86.5,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000031,2026-01-01,Shift 3,OPR-006,Operator 006,Tetap,Vendor C,Quay Crane,QC-01,box,Discharge,Normal,1.0,8,0.9,7.0,Tidak ada,6.98,3.11,28.0,195.5,185,195.5,185,94.6,87.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000032,2026-01-01,Shift 3,OPR-017,Operator 017,Outsourcing,Vendor C,Forklift,FL-05,box,Discharge,Kepadatan sedang,0.9,8,0.88,31.8,Operator change,6.59,2.75,10.0,59.3,51,59.3,51,85.9,82.4,REVIEW,Approved,Approved,PENDING,SAFE,produksi_bawah_target
TRX-0000033,2026-01-01,Shift 3,OPR-026,Operator 026,Tetap,Vendor B,Head Truck,HT-11,move,Discharge,Normal,1.0,8,0.51,9.5,Tidak ada,7.33,1.73,10.0,73.3,75,73.3,75,102.3,91.7,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000034,2026-01-01,Shift 3,OPR-001,Operator 001,Outsourcing,Vendor B,Head Truck,HT-07,move,Discharge,Kepadatan tinggi,0.8,8,0.86,23.0,Operator change,6.76,2.9,10.0,54.1,56,54.1,56,103.5,84.5,PASS,Approved,Pending,PENDING,SAFE,OK
TRX-0000035,2026-01-01,Shift 3,OPR-002,Operator 002,Outsourcing,Vendor B,Reach Stacker,RS-01,box,Loading,Kepadatan sedang,0.9,8,0.71,18.5,Waiting job,6.98,1.72,14.0,88.0,80,88.0,80,90.9,87.3,PASS,Approved,Pending,PENDING,SAFE,OK
TRX-0000036,2026-01-01,Shift 3,OPR-007,Operator 007,Outsourcing,Vendor B,Head Truck,HT-13,move,Loading,Kepadatan sedang,0.9,8,0.91,53.7,Yard congestion,6.19,2.54,10.0,55.7,61,55.7,61,109.5,77.4,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,utilisasi_rendah
TRX-0000037,2026-01-01,Shift 3,OPR-015,Operator 015,Outsourcing,Vendor A,Quay Crane,QC-06,box,Discharge,Normal,1.0,8,0.7,38.1,Waiting job,6.67,3.26,28.0,186.7,192,186.7,192,102.8,83.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000038,2026-01-01,Shift 3,OPR-013,Operator 013,Outsourcing,Vendor A,Quay Crane,QC-07,box,Discharge,Normal,1.0,8,0.67,6.9,Tidak ada,7.22,3.2,28.0,202.0,199,202.0,199,98.5,90.2,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000039,2026-01-02,Shift 1,OPR-018,Operator 018,Outsourcing,Vendor A,Quay Crane,QC-06,box,Loading,Kepadatan sedang,0.9,8,0.7,46.9,Operator change,6.52,4.0,28.0,164.2,168,164.2,168,102.3,81.5,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000040,2026-01-02,Shift 1,OPR-025,Operator 025,Tetap,Vendor C,Head Truck,HT-14,move,Loading,Normal,1.0,8,0.8,20.0,Operator change,6.87,2.39,10.0,68.7,61,68.7,61,88.8,85.8,REVIEW,Approved,Approved,PENDING,SAFE,produksi_bawah_target
TRX-0000041,2026-01-02,Shift 1,OPR-020,Operator 020,Outsourcing,Vendor A,RTGC,RTG-06,box,Discharge,Normal,1.0,8,0.61,27.2,Yard congestion,6.94,2.81,20.0,138.8,141,138.8,141,101.6,86.8,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000042,2026-01-02,Shift 1,OPR-005,Operator 005,Outsourcing,Vendor C,Head Truck,HT-17,move,Loading,Normal,1.0,8,0.78,57.3,Waiting job,6.26,2.57,10.0,62.6,62,62.6,62,99.0,78.3,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,utilisasi_rendah
TRX-0000043,2026-01-02,Shift 1,OPR-024,Operator 024,Tetap,Vendor B,Head Truck,HT-04,move,Loading,Normal,1.0,8,0.84,34.5,Weather,6.58,2.83,10.0,65.8,78,65.8,78,118.5,82.3,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,produksi_di_atas_batas
TRX-0000044,2026-01-02,Shift 1,OPR-011,Operator 011,Tetap,Vendor A,Reach Stacker,RS-05,box,Loading,Normal,1.0,8,0.45,3.9,Tidak ada,7.48,1.37,14.0,104.8,100,104.8,100,95.4,93.6,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000045,2026-01-02,Shift 1,OPR-012,Operator 012,Tetap,Vendor B,Reach Stacker,RS-03,box,Discharge,Kepadatan sedang,0.9,8,0.67,29.8,Operator change,6.84,4.41,14.0,86.2,87,86.2,87,101.0,85.5,REVIEW,Approved,Approved,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000046,2026-01-02,Shift 1,OPR-017,Operator 017,Outsourcing,Vendor C,Reach Stacker,RS-01,box,Loading,Kepadatan tinggi,0.8,8,0.99,7.8,Tidak ada,6.88,2.76,14.0,77.0,76,77.0,76,98.7,86.0,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000047,2026-01-02,Shift 1,OPR-008,Operator 008,Outsourcing,Vendor B,RTGC,RTG-08,box,Loading,Normal,1.0,8,0.98,14.8,Waiting job,6.77,3.35,20.0,135.4,140,135.4,140,103.4,84.6,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000048,2026-01-02,Shift 1,OPR-004,Operator 004,Outsourcing,Vendor A,Quay Crane,QC-07,box,Discharge,Normal,1.0,8,0.5,9.2,Tidak ada,7.35,3.11,28.0,205.8,202,205.8,202,98.1,91.9,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000049,2026-01-02,Shift 1,OPR-030,Operator 030,Outsourcing,Vendor A,Head Truck,HT-01,move,Discharge,Kepadatan tinggi,0.8,8,0.83,26.1,Yard congestion,6.73,2.43,10.0,53.8,53,53.8,53,98.4,84.1,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000050,2026-01-02,Shift 1,OPR-001,Operator 001,Outsourcing,Vendor B,Head Truck,HT-10,move,Discharge,Normal,1.0,8,0.74,26.9,System interruption,6.81,5.35,10.0,68.1,72,68.1,72,105.7,85.1,REVIEW,Pending,Waiting Foreman,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000051,2026-01-02,Shift 2,OPR-019,Operator 019,Tetap,Vendor B,RTGC,RTG-09,box,Discharge,Normal,1.0,8,0.74,25.4,Operator change,6.84,3.69,20.0,136.7,123,136.7,123,90.0,85.5,REVIEW,Returned,Waiting Foreman,PENDING,SAFE,produksi_bawah_target
TRX-0000052,2026-01-02,Shift 2,OPR-029,Operator 029,Outsourcing,Vendor A,RTGC,RTG-06,box,Discharge,Kepadatan sedang,0.9,8,0.58,15.8,Operator change,7.16,2.54,20.0,128.9,147,128.9,147,114.0,89.5,REVIEW,Returned,Waiting Foreman,PENDING,SAFE,produksi_di_atas_batas
TRX-0000053,2026-01-02,Shift 2,OPR-022,Operator 022,Outsourcing,Vendor C,Head Truck,HT-14,move,Discharge,Penghentian resmi,0.0,8,0.79,302.4,Operator change,2.17,2.71,10.0,0.0,0,0.0,0,0.0,27.2,REVIEW,Approved,Returned,PENDING,SAFE,produksi_bawah_target|utilisasi_rendah
TRX-0000054,2026-01-02,Shift 2,OPR-015,Operator 015,Outsourcing,Vendor A,RTGC,RTG-12,box,Loading,Normal,1.0,8,0.66,52.0,Equipment breakdown,6.47,3.25,20.0,129.4,134,129.4,134,103.5,80.9,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000055,2026-01-02,Shift 2,OPR-008,Operator 008,Outsourcing,Vendor B,Head Truck,HT-18,move,Discharge,Kepadatan sedang,0.9,8,0.54,29.4,Equipment breakdown,6.97,2.66,10.0,62.8,66,62.8,66,105.2,87.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000056,2026-01-02,Shift 2,OPR-027,Operator 027,Outsourcing,Vendor C,Quay Crane,QC-01,box,Loading,Normal,1.0,8,0.66,29.9,System interruption,6.84,1.67,28.0,191.6,210,191.6,210,109.6,85.6,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000057,2026-01-02,Shift 2,OPR-006,Operator 006,Tetap,Vendor C,Quay Crane,QC-06,box,Discharge,Normal,1.0,8,0.7,15.9,Yard congestion,7.03,5.79,28.0,196.9,205,196.9,205,104.1,87.9,REVIEW,Returned,Waiting Foreman,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000058,2026-01-02,Shift 2,OPR-024,Operator 024,Tetap,Vendor B,Head Truck,HT-15,move,Discharge,Normal,1.0,8,0.7,18.1,Yard congestion,7.0,3.09,10.0,70.0,64,70.0,64,91.4,87.5,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000059,2026-01-02,Shift 2,OPR-016,Operator 016,Outsourcing,Vendor C,RTGC,RTG-07,box,Discharge,Normal,1.0,8,0.58,32.6,Operator change,6.87,2.82,20.0,137.4,139,137.4,139,101.1,85.9,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000060,2026-01-02,Shift 2,OPR-002,Operator 002,Outsourcing,Vendor B,Quay Crane,QC-07,box,Discharge,Normal,1.0,8,0.74,2.8,Tidak ada,7.22,3.43,28.0,202.0,195,202.0,195,96.5,90.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000061,2026-01-02,Shift 2,OPR-010,Operator 010,Outsourcing,Vendor C,Head Truck,HT-09,move,Discharge,Normal,1.0,8,0.8,97.1,Waiting job,5.58,3.34,10.0,55.8,55,55.8,55,98.6,69.7,REVIEW,Returned,Waiting Foreman,PENDING,SAFE,utilisasi_rendah
TRX-0000062,2026-01-02,Shift 2,OPR-023,Operator 023,Outsourcing,Vendor A,Forklift,FL-03,box,Loading,Kepadatan sedang,0.9,8,0.67,13.8,Weather,7.1,2.77,10.0,63.9,71,63.9,71,111.2,88.7,REVIEW,Approved,Approved,PENDING,SAFE,produksi_di_atas_batas
TRX-0000063,2026-01-02,Shift 2,OPR-030,Operator 030,Outsourcing,Vendor A,Head Truck,HT-04,move,Loading,Pembatasan alat,0.75,8,0.63,9.6,Tidak ada,7.21,3.61,10.0,54.1,66,54.1,66,122.0,90.2,REVIEW,Approved,Approved,PENDING,SAFE,produksi_di_atas_batas
TRX-0000064,2026-01-02,Shift 2,OPR-017,Operator 017,Outsourcing,Vendor C,Forklift,FL-04,box,Loading,Normal,1.0,8,0.91,7.7,Tidak ada,6.96,2.99,10.0,69.6,69,69.6,69,99.1,87.1,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000065,2026-01-02,Shift 3,OPR-025,Operator 025,Tetap,Vendor C,Quay Crane,QC-05,box,Loading,Normal,1.0,8,0.52,35.0,Operator change,6.9,1.75,28.0,193.2,192,193.2,192,99.4,86.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000066,2026-01-02,Shift 3,OPR-024,Operator 024,Tetap,Vendor B,RTGC,RTG-10,box,Loading,Normal,1.0,8,0.87,6.3,Tidak ada,7.03,2.9,20.0,140.6,141,140.6,141,100.3,87.9,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000067,2026-01-02,Shift 3,OPR-029,Operator 029,Outsourcing,Vendor A,Forklift,FL-04,box,Loading,Normal,1.0,8,0.87,3.2,Tidak ada,7.08,1.98,10.0,70.8,77,70.8,77,108.8,88.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000068,2026-01-02,Shift 3,OPR-028,Operator 028,Outsourcing,Vendor B,Reach Stacker,RS-02,box,Discharge,Normal,1.0,8,0.83,14.6,Operator change,6.93,4.0,14.0,97.0,95,97.0,95,97.9,86.6,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000069,2026-01-02,Shift 3,OPR-022,Operator 022,Outsourcing,Vendor C,Quay Crane,QC-06,box,Loading,Normal,1.0,8,0.85,29.3,Weather,6.67,3.19,28.0,186.6,196,186.6,196,105.0,83.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000070,2026-01-02,Shift 3,OPR-019,Operator 019,Tetap,Vendor B,Quay Crane,QC-03,box,Discharge,Kepadatan sedang,0.9,8,1.0,68.2,Weather,5.86,3.11,28.0,147.7,162,147.7,162,109.7,73.3,REVIEW,Approved,Approved,PENDING,SAFE,utilisasi_rendah
TRX-0000071,2026-01-02,Shift 3,OPR-005,Operator 005,Outsourcing,Vendor C,Quay Crane,QC-02,box,Discharge,Penghentian resmi,0.0,8,0.74,345.2,Equipment breakdown,1.5,2.89,28.0,0.0,0,0.0,0,0.0,18.8,REVIEW,Approved,Approved,PENDING,SAFE,produksi_bawah_target|utilisasi_rendah
TRX-0000072,2026-01-02,Shift 3,OPR-023,Operator 023,Outsourcing,Vendor A,Reach Stacker,RS-05,box,Loading,Normal,1.0,8,0.83,28.2,Operator change,6.7,3.56,14.0,93.9,70,93.9,70,74.6,83.8,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,produksi_bawah_target
TRX-0000073,2026-01-02,Shift 3,OPR-010,Operator 010,Outsourcing,Vendor C,RTGC,RTG-05,box,Discharge,Normal,1.0,8,0.8,27.9,Operator change,6.73,2.82,20.0,134.7,133,134.7,133,98.8,84.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000074,2026-01-02,Shift 3,OPR-004,Operator 004,Outsourcing,Vendor A,RTGC,RTG-02,box,Loading,Normal,1.0,8,0.67,11.3,Waiting job,7.14,2.37,20.0,142.7,145,142.7,145,101.6,89.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000075,2026-01-03,Shift 1,OPR-014,Operator 014,Outsourcing,Vendor B,Quay Crane,QC-05,box,Discharge,Normal,1.0,8,0.47,21.0,Waiting job,7.18,3.22,28.0,180.9,196,180.9,196,108.3,89.7,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000076,2026-01-03,Shift 1,OPR-022,Operator 022,Outsourcing,Vendor C,RTGC,RTG-10,box,Discharge,Kepadatan tinggi,0.8,8,0.62,15.3,Operator change,7.13,3.02,20.0,102.7,100,102.7,100,97.4,89.1,PASS,Approved,Pending,PENDING,SAFE,OK
TRX-0000077,2026-01-03,Shift 1,OPR-005,Operator 005,Outsourcing,Vendor C,Quay Crane,QC-08,box,Discharge,Normal,1.0,8,1.23,39.3,Yard congestion,6.12,3.5,28.0,154.2,150,154.2,150,97.3,76.5,REVIEW,Approved,Approved,PENDING,SAFE,utilisasi_rendah
TRX-0000078,2026-01-03,Shift 1,OPR-028,Operator 028,Outsourcing,Vendor B,Quay Crane,QC-01,box,Loading,Normal,1.0,8,0.81,7.7,Tidak ada,7.06,3.46,28.0,177.9,179,177.9,179,100.6,88.2,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000079,2026-01-03,Shift 1,OPR-026,Operator 026,Tetap,Vendor B,Head Truck,HT-07,move,Loading,Normal,1.0,8,0.74,25.8,Waiting job,6.83,1.92,10.0,61.4,62,61.4,62,100.9,85.3,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000080,2026-01-03,Shift 1,OPR-004,Operator 004,Outsourcing,Vendor A,Quay Crane,QC-02,box,Discharge,Kepadatan tinggi,0.8,8,0.78,42.0,Waiting job,6.52,3.68,28.0,131.4,121,131.4,121,92.1,81.4,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000081,2026-01-03,Shift 1,OPR-019,Operator 019,Tetap,Vendor B,Quay Crane,QC-07,box,Loading,Normal,1.0,8,0.67,14.1,Weather,7.1,2.53,28.0,178.9,192,178.9,192,107.3,88.7,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000082,2026-01-03,Shift 1,OPR-001,Operator 001,Outsourcing,Vendor B,Head Truck,HT-12,move,Discharge,Kepadatan sedang,0.9,8,0.73,62.9,Waiting job,6.22,3.04,10.0,50.4,50,50.4,50,99.2,77.8,REVIEW,Approved,Approved,PENDING,SAFE,utilisasi_rendah
TRX-0000083,2026-01-03,Shift 1,OPR-020,Operator 020,Outsourcing,Vendor A,Head Truck,HT-01,move,Loading,Normal,1.0,8,0.66,43.1,Waiting job,6.62,3.75,10.0,59.6,56,59.6,56,93.9,82.8,PASS,Approved,Pending,PENDING,SAFE,OK
TRX-0000084,2026-01-03,Shift 1,OPR-023,Operator 023,Outsourcing,Vendor A,Head Truck,HT-02,move,Loading,Kepadatan tinggi,0.8,8,0.66,17.7,Yard congestion,7.04,3.04,10.0,50.7,52,50.7,52,102.6,88.0,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000085,2026-01-03,Shift 1,OPR-016,Operator 016,Outsourcing,Vendor C,Quay Crane,QC-06,box,Discharge,Normal,1.0,8,1.0,26.4,Equipment breakdown,6.56,4.28,28.0,165.4,164,165.4,164,99.2,82.0,REVIEW,Approved,Approved,PENDING,HARD ALERT,nonstop_lebih_4_jam
TRX-0000086,2026-01-03,Shift 1,OPR-012,Operator 012,Tetap,Vendor B,Head Truck,HT-16,move,Loading,Normal,1.0,8,0.79,14.9,Operator change,6.96,2.05,10.0,62.6,64,62.6,64,102.2,87.0,PASS,Pending,Waiting Foreman,PENDING,SAFE,OK
TRX-0000087,2026-01-03,Shift 1,OPR-013,Operator 013,Outsourcing,Vendor A,Forklift,FL-02,box,Discharge,Normal,1.0,8,0.64,55.1,Waiting job,6.44,3.89,10.0,57.9,58,57.9,58,100.1,80.5,PASS,Approved,Approved,FINAL,SAFE,OK
TRX-0000088,2026-01-03,Shift 1,OPR-009,Operator 009,Outsourcing,Vendor B,Forklift,FL-04,box,Loading,Normal,1.0,8,0.55,115.8,Tidak ada,7.18,2.94,10.0,64.6,65,64.6,65,100.6,89.8,REVIEW,Pending,Waiting Foreman,PENDING,SAFE,downtime_tanpa_alasan
TRX-0000089,2026-01-03,Shift 1,OPR-018,Operator 018,Outsourcing,Vendor A,Reach Stacker,RS-03,box,Loading,Normal,1.0,8,0.59,46.6,System interruption,6.63,2.16,14.0,83.5,86,83.5,86,103.0,82.9,PASS,Approved,Approved,FINAL,SAFE,OK
